SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
26,UNSAT,-22.078302561320903,-10.324923868145387,0.09031486511230469,4.03098042
27,UNSAT,-12.216654937007473,-2.049177750875324,0.06760811805725098,2.769258528
28,UNSAT,-23.772704092430992,-13.559244153653125,0.05161309242248535,2.924810038
29,UNSAT,-26.741457027099635,-9.42568076454633,0.10873603820800781,3.261436139
30,UNSAT,-20.050386529634004,-12.262414694256837,0.04799509048461914,2.278920411
31,UNSAT,-24.45579143266047,-15.081519511717925,0.06738114356994629,3.452403956
32,UNSAT,-14.683029848627243,-4.036970057461278,0.06352901458740234,2.60358578
33,UNSAT,-25.021699345204862,-15.204151498312287,0.06957197189331055,3.453860564
34,UNSAT,-10.771539241892796,-2.4789043123693357,0.13082003593444824,4.357209419
35,UNSAT,-19.730015006442713,-12.703432715188757,0.05019783973693848,2.980243425
36,UNSAT,-20.36038425164236,-6.719630360645576,0.10004615783691406,4.002866237
37,UNSAT,-13.807545471251778,-2.739408244509837,0.07155108451843262,3.532977559
38,UNSAT,-19.540171474966186,-13.116401150207217,0.040518999099731445,2.397070301
39,UNSAT,-16.34583046149801,-0.011967969410894952,0.10758781433105469,4.119843608
40,UNSAT,-12.788289470770524,-6.610447045717132,0.05867791175842285,2.802311936
41,UNSAT,-12.471992380806459,-6.685519262634686,0.06551599502563477,2.57796784
42,UNSAT,-17.658649636237076,-4.679715473308411,0.07898116111755371,3.285741018
43,UNSAT,-20.238019352333815,-2.4364838442939525,0.13069796562194824,3.950644271
44,UNSAT,-10.462229359248129,-3.949631599201582,0.11060905456542969,3.291256415
45,UNSAT,-16.381980047373496,-2.8544645501952504,0.06951403617858887,3.224755212
46,UNSAT,-22.666152021139197,-6.260274491062235,0.21956586837768555,5.573906549
47,UNSAT,-14.51723799488294,-7.587178753461091,0.04500389099121094,2.407291849
48,UNSAT,-24.721450178966496,-7.520750277505293,0.11966586112976074,4.88791117
49,UNSAT,-16.08228203473061,-6.881712972745179,0.057082176208496094,2.94780628
50,UNSAT,-20.840570300624606,-10.4868758669129,0.08401799201965332,3.494438314
51,UNSAT,-18.472341907947637,-2.794856161420057,0.09523510932922363,3.997243842
52,UNSAT,-25.71364496771173,-9.937580110237185,0.0865030288696289,4.254864309
53,UNSAT,-26.599743560620194,-15.972798115342108,0.0786440372467041,3.255122339
54,UNSAT,-21.02122219180531,-7.6949937247039975,0.10286808013916016,4.483862646
55,UNSAT,-33.456646347368896,-12.634334595231493,0.09741497039794922,4.876403311
56,UNSAT,-24.63238035186218,-12.229684668113581,0.08844399452209473,3.662850499
57,UNSAT,-34.29242152241032,-17.482737324536426,0.08521199226379395,3.444203926
58,UNSAT,-15.339722376810185,-8.81537572465163,0.047662973403930664,2.142902718
59,UNSAT,-21.211633774324916,-2.4278670359939993,0.09827709197998047,4.18289158
60,UNSAT,-11.873736691010295,-1.5944757024029277,0.14789199829101562,3.843326966
61,UNSAT,-21.12705448879423,-15.939059547056868,0.05739903450012207,2.621259849
62,UNSAT,-17.043984557784384,-2.7078826960121516,0.07775497436523438,3.717920019
63,UNSAT,-1.941489044467347,-0.3802456392725217,36.79680800437927,41.004328655
64,UNSAT,-10.712585271043771,-2.4553817295437272,0.13300418853759766,3.286823027
65,UNSAT,-22.634375159402882,-7.197135574597472,0.0923609733581543,3.748944548
66,UNSAT,-3.9855540140515027,-0.7382443898762606,8.448927879333496,12.527599909
67,UNSAT,-27.617371285609508,-3.1683749393613887,0.1389918327331543,4.594232231
68,UNSAT,-14.312775050936846,-0.14487870414807302,0.10226202011108398,5.497508168
69,UNSAT,-28.169994445746646,-13.342873859659262,0.0829629898071289,3.28034203
70,UNSAT,-26.3052687292612,-11.575356058239862,0.09047484397888184,3.810201258
71,UNSAT,-20.965431262229558,-13.900138742441229,0.052752017974853516,2.767477861
72,UNSAT,-29.314866260880198,-17.75782252934689,0.08570599555969238,3.174956088
73,UNSAT,-26.542456229138136,-12.996923495005497,0.07252693176269531,3.515536253
74,UNSAT,-14.91893881926434,-5.7465558566966255,0.042656898498535156,2.593152699
75,UNSAT,-14.644996412424637,-4.918788282140756,0.07431697845458984,2.591295914
76,UNSAT,-24.43176211214008,-5.536126256875292,0.09095597267150879,3.458558593
77,UNSAT,-25.77944323576444,-16.445946067261453,0.07217597961425781,3.148931023
78,UNSAT,-21.13439569368647,-3.210705400692757,0.11989212036132812,4.199705368
79,UNSAT,-15.703755778121321,-5.699192557448882,0.13444900512695312,3.334235698
80,UNSAT,-16.86526627510663,-6.477980505660484,0.06888008117675781,3.043896199
81,UNSAT,-10.274496226751737,-4.156511262236667,0.0483551025390625,2.544368038
82,UNSAT,-19.9012472241072,-10.069172171303622,0.07470989227294922,3.078904662
83,UNSAT,-19.059991854676078,-11.479055884324723,0.05556988716125488,2.977783043
84,UNSAT,-14.435609529312464,-7.007407710415072,0.05850386619567871,3.198947085
85,UNSAT,-27.384016031912562,-6.767386779202354,0.11134481430053711,4.881764168
86,UNSAT,-22.930218782033982,-10.943780508559485,0.054860830307006836,2.836263356
87,UNSAT,-18.735966933392145,-8.201632435491518,0.07391214370727539,3.065292499
88,UNSAT,-27.298359502663303,-10.808629440758072,0.09265899658203125,3.495017543
89,UNSAT,-23.566174667376757,-9.232240671853548,0.079833984375,3.61248321
90,UNSAT,-12.495631961122825,-2.804699512595494,0.06493687629699707,2.884611071
91,UNSAT,-23.006200913206328,-9.779061983093516,0.07452797889709473,2.954007816
92,UNSAT,-20.68000583612896,-10.674868347784333,0.0680689811706543,3.555815551
93,UNSAT,-0.3787614235245813,-0.011214227745011802,7.944463014602661,12.3428895
94,UNSAT,-10.312579858125794,-3.3598279691753286,0.11257004737854004,3.152485833
95,UNSAT,-17.169465022678533,-13.498766556291853,0.039433956146240234,2.116063806
96,UNSAT,-15.612709755002296,-2.783275076542365,0.16235589981079102,4.161273404
97,UNSAT,-11.052213785103952,-2.8113675253097186,0.059282779693603516,2.419481014
98,UNSAT,-20.238931814590572,-8.639255317112282,0.08041095733642578,3.001061794
99,UNSAT,-15.630968271525534,-4.58408193961789,0.07877707481384277,3.214029627
100,UNSAT,-24.681202796801596,-14.405274829031836,0.08090996742248535,3.134119524
