SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
64,Misclassified,0,0,0,0.242896768
65,Timeout,-0.30578944675668907,1.5860673430000778,300.0134708881378,512.649653969
66,Misclassified,0,0,0,0.239803879
67,Timeout,-1.045995579167138,1.5305931642134778,300.01060605049133,475.988852276
68,SAT,0.5231870607258144,0.704011159249919,281.69862699508667,375.797601279
69,Misclassified,0,0,0,0.239282343
70,Misclassified,0,0,0,0.263441382
71,Misclassified,0,0,0,0.241629751
72,Timeout,-0.1869860864839834,0.5324735455433265,300.0120198726654,487.738452818
73,Timeout,-0.868411644717388,1.29848531988742,300.01633310317993,465.136529633
74,Timeout,-0.7707364321374284,2.3241960914729516,300.0560681819916,526.445549502
75,SAT,0.361468819741343,0.7045082245264285,142.61928701400757,251.678295466
76,Misclassified,0,0,0,0.24499395
77,Timeout,-0.8841784408624461,1.7947846448972373,300.01512718200684,468.876122511
78,Misclassified,0,0,0,0.243088622
79,Misclassified,0,0,0,0.239927867
80,SAT,0.35647130751425316,0.8173044326749437,64.35630488395691,105.946466631
81,Timeout,-0.5494150029127003,1.834505778461449,300.0821530818939,439.525518798
82,UNSAT,-1.9224099119361404,-0.12219371721399863,10.40251111984253,106.857548007
83,Timeout,-2.3233702672017253,0.5789397680463002,300.01479291915894,504.083184939
84,SAT,0.9356764111747358,1.5431630099679163,235.96953797340393,329.590589199
85,Timeout,-0.04175865993489364,0.2545577029875525,300.0154929161072,371.301848225
86,Misclassified,0,0,0,0.2407048
87,Timeout,-0.38062256978932474,1.611223774876065,300.0135419368744,485.218612677
88,Misclassified,0,0,0,0.246243986
89,Timeout,-0.7336212416493739,0.6344598589908363,300.0336899757385,434.343193414
90,Timeout,-0.5806641455281234,2.0404258020497816,300.02312183380127,494.369764224
91,Timeout,-0.13192989085910045,3.1579355805131293,300.01366806030273,492.852867606
92,Misclassified,0,0,0,0.244309853
93,UNSAT,-2.5937951321838404,-0.6112185638320198,5.911724090576172,82.037198866
94,Misclassified,0,0,0,0.240558498
95,Misclassified,0,0,0,0.243248678
96,Timeout,-0.07151895935151975,3.198250263776785,300.01394295692444,519.33655225
97,Timeout,-0.16961227656104616,1.1046545362513311,300.0175130367279,529.78934755
98,Timeout,-0.4892826264336749,2.573702393443993,300.01621079444885,464.783273857
99,UNSAT,-2.2274971029851667,-1.1630443114929183,0.7324891090393066,29.062205324
100,Timeout,-0.1309922015893552,1.3333807017808645,300.01267409324646,435.125169821
