PropertyID,NetworkID,VerificationResult,InternalSolveStatus,ObjectiveValue,ObjectiveBound,InputValue,OutputValue,MainSolveTime,TotalTime
1,4_8,Timeout,UserLimit,-3.946646893166954,1925.9822720312322,NaN,NaN,300.0018301010132,315.30307391
1,4_9,Timeout,UserLimit,-3.970327069203015,3938.222636018513,NaN,NaN,300.0054359436035,317.688301578
1,5_1,Timeout,UserLimit,-3.9597786610652213,164.4025416697839,NaN,NaN,300.00239086151123,313.467076405
1,5_2,Timeout,UserLimit,-3.962477576930948,61.16847432463485,NaN,NaN,300.0049738883972,310.498415845
1,5_3,Timeout,UserLimit,-3.9709739142849543,94.44481854264042,NaN,NaN,300.0108528137207,312.953644019
1,5_4,Timeout,UserLimit,-3.956276385407608,110.49795203463286,NaN,NaN,300.0030310153961,310.865788371
1,5_5,Timeout,UserLimit,-3.95508593948305,271.03206602628376,NaN,NaN,300.00251293182373,315.98230253
1,5_6,Timeout,UserLimit,-3.9637616489360887,971.666674636776,NaN,NaN,300.0020520687103,316.802335822
1,5_7,Timeout,UserLimit,-3.957840684890529,1447.3958452886538,NaN,NaN,300.0015277862549,329.456028482
1,5_8,Timeout,UserLimit,-3.9559663019627576,2655.4825838531797,NaN,NaN,300.00188398361206,318.827906365
1,5_9,Timeout,UserLimit,-3.9590064430217438,1265.050337708273,NaN,NaN,300.00201511383057,318.109207006
2,1_1,Timeout,UserLimit,-0.003090561352718117,10.045605680446746,NaN,NaN,300.01857686042786,307.991502984
2,1_2,Timeout,UserLimit,-0.0020676282971901876,6.48353637443993,NaN,NaN,300.0040919780731,309.702793589
2,1_3,Timeout,UserLimit,-0.0033827970932217444,23.406819597187052,NaN,NaN,300.01575112342834,312.04398428
2,1_4,Timeout,UserLimit,-0.0032844089787525607,7.141593882571953,NaN,NaN,300.0025210380554,310.235652475
2,1_5,Timeout,UserLimit,-0.003949209399174121,5.266022301791585,NaN,NaN,300.0100829601288,309.588105799
2,1_6,SAT,UserObjLimit,0.00013205155209305985,17.591661337213942,"[56782.56674484872, -0.04271138285346768, -0.5121922736998012, 1145.0, 0.0]","[1.1975406254541676, 0.6817581401667194, 0.8346033255496605, 0.7929065224194165, 1.1481599581130935]",115.38475394248962,125.492356772
2,1_7,Timeout,UserLimit,-0.002173173601597956,14.750790992222678,NaN,NaN,300.0045609474182,309.559598896
2,1_8,Timeout,UserLimit,-0.002524937533477139,8.546577546589337,NaN,NaN,300.00156688690186,310.260423785
2,1_9,Timeout,UserLimit,-0.0018180748403109695,5.232058214955095,NaN,NaN,300.00102496147156,312.15053856
2,2_1,SAT,UserObjLimit,0.018139837798872786,91.92583171863964,"[60760.0, 0.009845860589818829, -0.006531424216640052, 1194.110718976433, 23.42504208223511]","[22.435535024650758, -1.5242135985489353, 15.631794804448095, 0.48576687836501886, 15.652144130949313]",10.519929885864258,21.864882375
2,2_2,SAT,UserObjLimit,0.00132690120379712,100.41508070558497,"[60760.0, 0.005957506851981015, -0.39179421549631716, 1145.0, 9.920046367134091]","[17.265568777169342, 0.11938058005689633, 16.769374178161506, 1.9934535986333861, 16.38172930632725]",134.3077449798584,145.665091293
2,2_3,SAT,UserObjLimit,0.014892060551416984,457.5877390399206,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[22.178717955036074, -0.2897316809166197, 16.264940302358415, 3.6038055954792174, 16.60983310319854]",0.04106402397155762,9.998798138
2,2_4,SAT,UserObjLimit,0.00010134567868587407,48.26543116628974,"[60428.80290965523, 0.025265057599051437, -0.21189159114168446, 1200.0, 19.57702984110972]","[16.03798796041231, -0.6793125399183539, 15.61130793535045, 1.4824261618402845, 16.00008975197538]",11.636034965515137,20.015957928
2,2_5,SAT,UserObjLimit,0.002578872251767589,1011.4330889691872,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[17.246545034294716, 0.511801623775364, 15.746172386494166, 1.0368255829656228, 16.28217596254922]",0.05088400840759277,11.323631119
2,2_6,SAT,UserObjLimit,0.0025970303713065933,2286.2624873711,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[16.373530579180578, 0.20490991425408467, 14.97373747246974, 1.5042111146385118, 15.402371279592908]",0.04500317573547363,12.281173796
2,2_7,SAT,UserObjLimit,0.003766640268264995,3665.9187567363874,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[17.068881351393976, 0.011647184784662201, 15.660346524486535, 2.1992542368087493, 15.572997580699969]",0.06989383697509766,19.513655996
2,2_8,SAT,UserObjLimit,0.016957463349977612,4904.999018191782,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[22.30879466426931, -0.518188923616326, 15.220681266146112, 2.149563666801675, 15.967552601142248]",0.07917499542236328,15.4392818
2,2_9,Timeout,UserLimit,-0.0006481473587014418,1160.1585815234287,NaN,NaN,300.0015859603882,314.50625607
2,3_1,SAT,UserObjLimit,0.00439154845192246,504.60563997926516,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[17.92647420900236, 16.284255017399317, -1.4706950145498068, 15.982770699638845, 4.847528659706176]",0.03691697120666504,9.58707301
2,3_2,Timeout,UserLimit,-0.003899327362360698,30.49851595774745,NaN,NaN,300.00161695480347,312.317231222
2,3_3,Timeout,UserLimit,-0.0022165620342955925,59.18643372892629,NaN,NaN,300.0050640106201,310.494831112
2,3_4,SAT,UserObjLimit,0.00011225593682525487,269.2479097266838,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[15.898248418102945, 15.718799083692264, -0.6741052311199391, 15.856270319842423, 1.337848053432265]",0.052922964096069336,9.707777634
2,3_5,SAT,UserObjLimit,0.009574097938207904,662.2860924370871,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[19.310994122432046, 15.730760964729427, -1.7786050417882118, 15.289092507835726, 2.5119194583740567]",0.0545499324798584,12.690002134
2,3_6,Timeout,UserLimit,-0.0005590945864436883,609.9872128373074,NaN,NaN,300.00195717811584,312.126759203
2,3_7,Timeout,UserLimit,-0.0004951763366169634,1486.1740181566875,NaN,NaN,300.0032970905304,316.126355665
2,3_8,SAT,UserObjLimit,0.00018726718103119835,1493.0411588834527,"[55947.691, 0.02931931661279868, 0.03681784573547423, 1200.0, 17.80711423836624]","[15.439889336341107, 14.9832770213991, -0.4245507306388623, 15.369860788975863, 3.288374690342221]",97.86058378219604,110.51182483
2,3_9,SAT,UserObjLimit,0.01747834923823328,3989.4368426324813,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[22.631562277101605, 15.577376887015202, -0.0682912222285319, 16.09553497773221, 1.3840102876507991]",0.07950401306152344,14.669751281
